Delivery Date,Squash - Acorn (1.0 Small) - Small,Winter Squash - Blue Delight - Each,$ for green bags donation - $,Cooler Donation - $,Beets - Golden - Lb.,Bibb Lettuce - Head,Bok Choy - Share,Cabbage - Green (1.0 Large) - Large,Carrots - Lb.,Celery Cuttings - Bunch,Collards - Bunch,Fresh Parsley - Bunch,Garlic - Cured Bag - Bag,Kale - Dinosaur - Bag,Lettuce Mix - Bag,Mushrooms - Choice,Mushrooms (1.0 Lion's Mane) - Lion's Mane,Mushrooms (1.0 Oyster) - Oyster,Mushrooms (1.0 Shiitake) - Shiitake,Mushrooms - Chestnut - Bag,Mushrooms - Hen of the Woods - Bag,Radish - Bunch - Bunch,Radishes - Purple Heart - Lb.,Radishes - Watermelon  - Lb.,Red Beets - Lb.,Red Butterhead Lettuce - Head,Romaine Lettuce - Sm - Head,Shoots - Arugula - Bag,Shoots - Broccoli - Bag,Shoots - Cilantro - Bag,Shoots - Kohlrabi - Bag,Shoots - Pea - Bag,Shoots - Specialty Mix - Bag,Shoots - Sunflower - Bag,Shoots - Wasabi - Bag,Spinach - Share,Squash -  Butternut (1.0 Medium) - Medium,Squash -  Butternut (1.0 Small) - Small,Squash -  Butternut (1.0 XS) - XS,Squash - Butternut Really 2nds - Each,Squash - Butternut Really 2nds (1.0 Medium) - Medium,Squash - Butternut Really 2nds (1.0 Small) - Small,Squash - Kabocha - Each,Squash - Kabocha (1.0 Large) - Large,Squash - Kabocha (1.0 Small) - Small,Squash - Mashed Potato - Each,Squash - Mashed Potato (1.0 Medium) - Medium,Squash - Mashed Potato (1.0 Small) - Small,Squash - Spaghetti  (1.0 Medium) - Medium,Squash - Spaghetti  (1.0 Small) - Small,Squash - Tetsukabuto - Each,Sweet Potatoes - lbs,Turnips - Purple Top  - lbs,Winter Squash - Red Kuri (1.0 Small) - Small,Winter Squash - Sugar Cup - Each,Extra Credit - Each,Half,FSA/FSD,FSC,UCA/KWA,UCB/KWB,Mini,(BYO) FSG - Orders Only,(BYO) KWG - Orders Only,"BYO - No Share, Order Only",No Produce - Order Only (even wk),No Produce - Order Only (odd wk),2% MILK,2% MILK-e,2% MILK-o,Chocolate MILK,Cream pint,Creamline MILK,Egg - LB,Eggs - Buttonwood,Ground Chicken,Marinara Sauce AT,Multigrain Bread,RL - Gallon Whole Milk,Skim MILK,Skim MILK-e,Whole MILK,Whole MILK-e,Whole MILK-o,YoBul plain yogurt
Total - 2024-02-07,2.0,,3.0,3.0,3.0,36.0,,,21.0,,,,16.0,,,24.0,5.0,7.0,,,6.0,,4.0,6.0,7.0,,,2.0,,3.0,,5.0,6.0,,4.0,,,7.0,,,4.0,2.0,1.0,,,1.0,,,5.0,,2.0,6.0,4.0,2.0,1.0,1484.3898,38.0,15.0,15.0,23.0,,50.0,1.0,,,,,3.0,3.0,,1.0,1.0,,0.0,1.0,5.0,0.0,,,1.0,,4.0,5.0,,3.0
Total - 2024-02-08,,,4.0,8.0,2.0,21.0,,,25.0,,,,6.0,,,19.0,3.0,7.0,,,9.0,,2.0,2.0,13.0,,,3.0,,2.0,,3.0,4.0,,5.0,,,12.0,,,,,,,,2.0,,,5.0,,2.0,8.0,3.0,,1.0,1503.65,41.0,24.0,16.0,21.0,,28.0,1.0,1.0,,2.0,,5.0,5.0,,,,2.0,,,,,,0.0,2.0,2.0,9.0,1.0,,
Total - 2024-02-14,10.0,2.0,5.0,2.0,11.0,27.0,,10.0,8.0,6.0,,2.0,3.0,,15.0,16.0,3.0,4.0,4.0,6.0,3.0,5.0,5.0,2.0,6.0,,,1.0,,,1.0,2.0,5.0,,3.0,,,11.0,,,,2.0,,,,,,,2.0,3.0,5.0,,2.0,,,1578.5,26.0,15.0,14.0,25.0,,49.0,1.0,,1.0,,1.0,3.0,,,1.0,,,,1.0,5.0,,1.0,,1.0,,4.0,,7.0,2.0
Total - 2024-02-15,4.0,1.0,4.0,12.0,7.0,25.0,,7.0,23.0,2.0,,6.0,2.0,,11.0,20.0,5.0,3.0,11.0,9.0,4.0,8.0,1.0,,6.0,,,3.0,,,2.0,2.0,1.0,,3.0,2.0,,4.0,,,,1.0,,,,1.0,,,2.0,4.0,,,3.0,2.0,,1278.2701,44.0,23.0,18.0,21.0,,27.0,1.0,1.0,,,2.0,3.0,,2.0,,,,1.0,,,,,0.0,2.0,,5.0,,1.0,
Total - 2024-02-21,7.0,1.0,3.0,,13.0,22.0,12.0,,12.0,6.0,10.0,3.0,,,3.0,19.0,1.0,6.0,8.0,8.0,2.0,6.0,4.0,1.0,5.0,4.0,1.0,,,,1.0,,2.0,,1.0,14.0,,4.0,4.0,,,,,1.0,1.0,1.0,,,,2.0,2.0,,,,,1468.8903,37.0,14.0,11.0,24.0,,48.0,1.0,,,,,3.0,3.0,,1.0,1.0,,,1.0,,,,,1.0,,4.0,4.0,,2.0
Total - 2024-02-22,3.0,,8.0,13.0,9.0,32.0,13.0,,17.0,1.0,10.0,5.0,,,2.0,17.0,2.0,7.0,7.0,8.0,7.0,3.0,1.0,1.0,8.0,1.0,,,,,2.0,5.0,,,4.0,11.0,,1.0,9.0,,,,,2.0,1.0,1.0,,,,9.0,2.0,,1.0,,,1481.7699,43.0,24.0,17.0,25.0,1.0,29.0,1.0,1.0,,2.0,,5.0,5.0,,,,,,,,,,0.0,2.0,2.0,8.0,2.0,,
Total - 2024-02-28,5.0,1.0,6.0,3.0,8.0,28.0,1.0,8.0,18.0,3.0,11.0,1.0,,4.0,10.0,14.0,,6.0,9.0,,2.0,5.0,1.0,6.0,,,,3.0,,2.0,,4.0,3.0,3.0,4.0,,,6.0,1.0,,,,,,,,,,2.0,,4.0,,,,1.0,1704.5298,25.0,15.0,11.0,25.0,,48.0,1.0,,1.0,,,3.0,,,1.0,,,,1.0,5.0,,1.0,,1.0,,2.0,,7.0,2.0
Total - 2024-02-29,6.0,,9.0,11.0,11.0,30.0,1.0,6.0,19.0,4.0,18.0,1.0,,2.0,5.0,23.0,1.0,5.0,14.0,,7.0,5.0,,4.0,1.0,,,1.0,,,,1.0,3.0,2.0,2.0,,1.0,4.0,,,,,,,,,1.0,2.0,5.0,,2.0,,,,4.0,1791.3302,41.0,23.0,18.0,24.0,,29.0,1.0,1.0,,,2.0,4.0,,1.0,,,2.0,1.0,,,,,0.0,2.0,,9.0,,1.0,
Total - 2024-03-06,1.0,,8.0,1.0,7.0,25.0,7.0,5.0,12.0,2.0,6.0,6.0,,,14.0,11.0,1.0,6.0,10.0,,5.0,,,11.0,6.0,,,,2.0,1.0,2.0,4.0,1.0,,1.0,20.0,,,,1.0,,,,,,3.0,,,3.0,,1.0,,,,,2088.6406,41.0,14.0,10.0,25.0,,46.0,1.0,,,,,4.0,2.0,,1.0,0.0,,1.0,1.0,5.0,0.0,,,1.0,2.0,4.0,5.0,,2.0
Total - 2024-03-07,,,7.0,12.0,5.0,28.0,9.0,2.0,10.0,3.0,10.0,2.0,,,11.0,12.0,1.0,5.0,10.0,,2.0,1.0,,4.0,3.0,,,,4.0,2.0,1.0,1.0,1.0,,3.0,19.0,,,,,,,,,,2.0,,,6.0,,2.0,,,,1.0,1709.6401,37.0,23.0,16.0,23.0,1.0,32.0,1.0,1.0,,2.0,,6.0,5.0,,,,4.0,,,,,,0.0,4.0,,18.0,2.0,,
