ITEM,AVAILABLE
Almond Butter,22
Almond Butter - Crunchy,36
Almonds - Raw,6
Almonds - Salted,6
Angel Food Cheese,7
Apple Butter,6
Apple Butter - No Sugar,5
Apple Butter - Organic,0
Apple Cider Vinegar,0
Apple Sauce - Chunky - NS,13
Apple Sauce - Organic Pt.,0
Apple Sauce - Organic Qt.,0
Apple Sauce - w/sugar - qt.,10
Baba Ganoush,0
Bacon,64
Bacon - Uncured,1
Bacon Ends /lb.,4
Bada Bing - Sub,12
Bada Bing - Sub - Frozen,0
Bagels - Everything,8
Bagels - Everything - Frozen,6
Bagels - Plain,0
Bagels - Plain - Frozen,11
Bagels - Raisin,8
Bagels - Raisin - Frozen,1
Baklava,0
Balsamic Vinegar,13
BBQ Sauce - Original #6,22
Beans & Rice,9
Bee Pollen,0
Beef - Stew Meat,3
Beef - Tenderloin 8oz.,6
Beef Bones - Knuckle/lb.,4
Beef Kabob Meat,84
Beef Marrow Bones /lb,6
Beets - Pickled,10
Big John's BBQ Sauce,4
Bison - Ground,88
Black Bean Dip,6
Black Bean Hummus,6
Black Bean Soup,7
Black Beans - Dry,6
Black Beans DC,36
Black Goat PF,5
Blackberry Vinaigrette,13
Boerewors Sausage,0
Bologna,4
Boneless Pork Chop - D&M /lb,0
Bourbon Butterscotch Sauce,0
Brazil Nuts,7
Bread Pudding - Muffin,0
Bread Pudding - Muffin - Froz.,11
Bread Pudding (1.0 Maple),3
Bread Pudding (1.0 Mocha Swirl),0
Bread Pudding (1.0 Plain),6
Bread Pudding (1.0 Pumpkin),0
Brioche - Buns,10
Brioche - Buns - Frozen,1
Brioche - Loaf,0
Brioche - Loaf - Frozen,4
Brisket - half/lb.,3
Brisket - whole/lb.,1
Brown Rice Flour,3
Buddha's Delight - Kit,0
Bulgur Salad,0
Buns - John Dough,0
Buns - John Dough - Frozen,10
Buttermilk - Qt.,7
Cabbage Stuffed Peppers,0
Candied Onions,0
Canned Peaches- sugar,23
Cappuccino Milk 12 oz.,0
Cashew Butter - Raw,27
Cashew Butter - Roasted,16
Cashews Raw,6
Cashews Salted,4
Catsup - Marina's,9
Catsup - Nolte,0
Cheddar - Hatch Pepper,6
Cheddar - Mauna Loa,7
Cheddar - Onion Chive,5
Cheddar - Tipsy,5
Cheddar - White MJC,6
Cheese - Aged Alpine,6
Cheese Curds (1.0 Herb),7
Cheese Curds (1.0 Plain),5
Cheese Curds (1.0 Spicy),5
Cheese Spread Ropp,0
Chevre PF (1.0 Herb),18
Chevre PF (1.0 Pepper),14
Chevre PF (1.0 Plain),17
Chicken - Big Bag Deboned Thighs/lb.,3
Chicken - BULK Breasts /lb.,8
Chicken - Ground,39
Chicken - Thighs /lbs,19
Chicken - Whole $4.50/lb.,11
Chicken Bones - SM/lb.,6
Chicken Bones - XL/lb.,0
Chicken Breasts /lb.,19
Chicken Chorizo,4
Chicken Drumsticks /lb.,3
Chicken Feet /lb,0
Chicken Links - Andouille,2
Chicken Links - Apple Cinnamon,2
Chicken Links - Chorizo,4
Chicken Links - Sundried Tomato,4
Chicken Thighs - Big Bag/lb.,4
Chicken Thighs - Boneless/lb.,19
Chicken Wings/lb.,3
Chickpea Hummus,0
Chipotle Pepper,0
Chips - Tortilla,0
Chocolate Gooey Butter Cake,0
Chuck Roast/lbs.,4
Cinnamon Rolls,6
Cinnamon Rolls - Frozen,14
Cinnamon Rolls - Jr. L.,15
Coconut Date Sauce,0
Coconut Oil Pint Organic,15
Coconut Oil Quart,10
Coffee Stringbean Decaf,4
Coffee Stringbean Red Eye,7
Cornmeal,31
Cottage Cheese,13
CranApple Jalapeno Chutney,24
Cranberry Chutney,22
Croissants,8
Croissants - Frozen,15
Crunchy Peanut Butter,10
Curry Sauce (1.0 Green),9
Curry Sauce (1.0 Mango),8
Curry Sauce (1.0 Red),13
Dark Bar 61%,10
Dark Bar 72%,10
Dark Chocolate Almond Bar,7
Dark Chocolate Bon Bons,4
Dark Chocolate Caramels,5
Dark Chocolate Coffee Bark,5
Dark Chocolate Ginger Bark,4
Dark Chocolate Lolli,10
Dark Chocolate Salted Bark,3
Dark Chocolate Square,14
Date Chocolate Spread,0
Date Syrup,0
Dates,38
Decaf Kuva,2
Deli Rye Bread,8
Deli Rye Bread - Frozen,0
Deluxe Mixed Nuts,0
Dill Pickles - TM&G,0
Dill Pickles - TM&G (1.0 Spicy),0
Dinner Rolls,0
Dinner Rolls - Frozen,0
Dog Shampoo,0
Eggs - BW,195
Eggs - H,222
Eggs - Linnenbringer,0
Fatayer - Cheese,0
Fatayer - Cheese - Froz.,0
Fatayer - Spinach,0
Fatayer - Spinach - Froz.,0
Feta Cheese,5
FF - Bourbon Bacon Compote,0
FF - Fry Bread,0
FF - Tomatillo Salsa,0
FF Dip - Arugula Artichoke,0
FF Dip - Chili Hummus,12
FF Dip - Crab,0
FF Dip - Curried Corn,0
FF Dip - Feta,0
FF Dip - French Onion,0
FF Dip - Pimiento Cheese Spread,10
FF Dip - Ricotta Pea Smash,0
FF Dip - Salmon & Corn,0
FF Dip - Smoked Fish,0
FF Dip - Smoked Salmon,0
FF Dip - Spinach Artichoke,0
FF Dip - Street Corn,0
FF Dish - Cauliflower Curry,11
FF Dish - Cheesy Polenta,0
FF Dish - Chestnut Risotto,0
FF Dish - Corn Risotto,0
FF Dish - Crawfish Risotto,0
FF Dish - Creole Shrimp & Okra,0
FF Dish - Green Curry,0
FF Dish - Laksa Tofu Curry,0
FF Dish - Masala,0
FF Dish - Mole Rojo Chili,0
FF Dish - Pumpkin Risotto,0
FF Dish - Risotto,0
FF Dish - Saag Paneer,12
FF Dish - Satay Curry,0
FF Dish - Seafood Risotto,13
FF Dressing - Mayfair,0
FF Grits - Smoked Cheddar,12
FF Grits - Succotash,0
FF Pasta - Green Tea Soba,0
FF Pasta - Mac N Cheese,0
FF Salad - Broccoli,0
FF Salad - Brussels,0
FF Salad - Cous Cous,0
FF Salad - Quinoa Crunch,0
FF Salad - Roasted Roots,0
FF Salad - Soffritto,0
FF Salad - Spring Kimchi,0
FF Sauce - Mole,0
FF Sauce - Puttanesca,9
FF Sauce - Thai Peanut,0
FF Side - BBQ Pit Beans,9
FF Side - Creamed Kale,0
FF Soup - Broccoli Cheddar,0
FF Soup - Chickpea Stew,8
FF Soup - Chowder,0
FF Soup - Egg Drop Soup,0
FF Soup - Gumbo,5
FF Soup - Minestrone,0
FF Soup - Potato,0
FF Soup - Seafood,0
FF Soup - Tom Kha,10
FF Soup - Vegetable Stew,0
FF Soup - Wild Rice Minestrone,0
FF Soup - Yellow Gazpacho,10
FF Tzatziki,0
FF Vichyssoise - Leek & Fennel,0
Flaked Salmon/lb.,14
Flank Steak/lbs.,4
Fleur de la Prairie,11
Flory's Farmhouse,16
Flory's Favorite,0
Flour - All Purpose 5#,11
Flour - Bread 5#,15
Flour - Buckwheat,0
Flour - Pastry 5lb.,4
Flour - Sifted Bread 5lb.,9
Focaccia - 3 Cheese,0
Focaccia - 3 Cheese - Frozen,8
Garden Relish,0
Garlic Balsamic Vinaigrette,4
Giant Turkey Breast /lbs.,1
Gluten Free Black Bean Soup,3
Gluten Free Black Beans,6
Gluten Free Black Beans & Rice,4
Gnocchi - Garlic Chive,4
Gnocchi - Potato,3
Gnocchi - Spinach,7
Gnocchi - Sundried Tomato,5
Gnocchi - Sweet Potato,8
Goshen Black Dog,4
Goshen Black Dog 5 LB,1
Goshen Bona Fide,5
Goshen Bona Fide 5 LB,2
Goshen Brazil,4
Goshen Colombia,5
Goshen Decaf Bona Fide,6
Goshen Ethiopia,4
Goshen French Roast,5
Goshen Guatemala,5
Goshen Moka Java,5
Goshen Old School Tattoo,4
Goshen Sumatra,2
Gouda - 5 Alarm,7
Gouda - Cave Aged,5
Gouda - MJC,6
Gouda - Ropp,0
Gouda - Smoked,6
Granola - Cranberry Almond,10
Granola - Vanilla Apricot,5
Granola Bar,30
Grits,27
Ground Beef 80/20,97
Ground Beef 90/10,52
Ground Lamb,0
Ground Turkey,13
Habanero Apple Cider Vinegar,0
Half & Half,4
Halibut/lb.,9
Ham Hocks/lb.,4
Ham Steak RFF/lb.,9
Harvest Shreds (1.0 Barbacoa),0
Harvest Shreds (1.0 BBQ),0
Harvest Shreds (1.0 Bulgogi),0
Harvest Shreds (1.0 Naked),0
Havarti - MJC,7
Heavy Cream,1
Honey - 12 oz. mbb,9
Honey - 6oz mbb.,9
Honey - Pint,0
Honey - Qt.,10
Honey - Squeeze Bottle,0
Honey - Wildflower,10
Hot Sauce - Green,5
Hot Sauce - Red,6
Hot Sweet Dills qt.,0
Jailhouse Jalapeno Brew,61
Jam - Apricot HBY,3
Jam - Black & Blue CF,0
Jam - Black Raspberry HBY,4
Jam - Blackberry HBY,4
Jam - Blackberry Jalapeno,6
Jam - Blueberry HBY,5
Jam - Blushing Peach CF,0
Jam - Cherry Butter,9
Jam - Gooseberry HBY,3
Jam - Grape HBY,0
Jam - Peach HBY,4
Jam - Pear Butter HBY,2
Jam - Plum Butter,3
Jam - Plum Conserve,4
Jam - Red Cherry HBY,4
Jam - Red Raspberry HBY,5
Jam - Rhubarb HBY,0
Jam - Strawberry - Rhubarb,5
Jam - Strawberry CF,0
Jam - Strawberry HBY,4
Jam - Strawberry Rhubarb CF,0
Jam - Summer Trio CF,0
Jam - Tomato,0
Jam - Triple Crown CF,0
Jam - Wild Elderberry HBY,5
Jar Tomatoes,46
Jasmine Rice (1.0 Brown),11
Jasmine Rice (1.0 White),4
Jelly - Jalapeno HBY,4
Jungle Curry - Kit,0
K&G Beanie Hat,1
Kabob - Lamb /lb,0
Kuva Brazil,2
Kuva Ethiopian,1
Kuva Nicaragua,1
Kuva Peru,1
Kuva Sumatra,2
Lamb Chops/lb. DM,0
Lamb Feta/Spinach Gyro,0
Lamb Gyro Plain,0
Lamb Shank/lb.,5
Lard,4
Lasagna (1.0 Cheese),2
Lasagna (1.0 Mushroom),2
Lasagna (1.0 Spinach),2
Leg-o-Lamb - Bone in /lb.,2
Leg-o-Lamb - Boneless/lb.,1
Lemon Tarragon Vinaigrette,1
Lip Balm (1.0 Honey Orange),4
Lip Balm (1.0 Honey Vanilla),2
Lip Balm (1.0 Peppermint Rosemary),2
Little Bloom PF,3
Little Smokies - 2 pk,5
Ludwig Cheese (1.0 Blue),0
Ludwig Cheese (1.0 Kickapoo),0
Ludwig Cheese (1.0 Sangamon),0
Macadamias,0
Maple Syrup 12 oz.,9
Maple Syrup 64 oz.,6
Marshmallow Pie,6
Meatballs,5
Mexican Dark Bark,5
Midnight Eclipse PF,5
Milk - 2%,12
Milk - Chocolate,1
Milk - Creamline,1
Milk - Skim,1
Milk - Whole,11
Milk Choc. Peanut Butter Bark,6
Milk Chocolate Bar,11
Milk Chocolate Caramels,0
Milk Chocolate Lolli,16
Milk Chocolate PB Bon Bons,4
Milk Chocolate Salted Bark,6
Milk Chocolate Square,12
Missouri Pecans,0
Missouri Pecans (1.0 Pieces),0
Mojo Marinade,7
Mole Sauce,8
Molten Lava Cakes,0
Monsoon Mushrooms - Kit,1
Mozzarella,0
Muhammara Dip,0
Mujadara - Lentil & Rice,0
Multigrain Bread,18
Multigrain Bread - Frozen,9
Mushroom Pate,0
Mushrooms - Dried Mix,0
Mushrooms - Dried Shiitake,0
Mustard (1.0 Garlic),10
Mustard (1.0 Honey),22
Mustard (1.0 Horseradish),10
Mustard (1.0 Onion),9
Nora Pepper Blend,5
NY Strip Steak /lb,10
Oat Groats Organic,21
Oats - 1lb. (1.0 Coarse),10
Oats - 1lb. (1.0 Fine),14
Oats - 1lb. (1.0 Flour),0
Oats - 1lb. (1.0 Rolled),13
Oats - Fine 5#,9
Oats - Rolled 5#,11
Oats Coarse 5#,0
Olive Cheese Spread,0
Olive Oil large,10
Olive Oil Medium,9
Olive Oil Small,6
oo'ma'me - Chinese,1
oo'ma'me - Indian,2
oo'ma'me - Mexican,4
oo'ma'me - Moroccan,1
Orange Milk 12 oz.,0
Organic Sugar,0
Oxtail/ lbs.,3
Pacific Cod/lb,27
Pasta - G.Free Long DG,7
Pasta - G.Free Short DG,1
Pasta - Gluten Free Long LV,6
Pasta - Gluten Free Short LV,5
Pasta - Short Egg,6
Pasta Bi-color Short,34
Pasta Long Bi-color,71
Pasta Long Egg,7
Pate de Fruit,2
Peaches - Spiced,7
Peanut Butter EW,124
Peanut Butter MC,17
Peanut Butter w/Chocolate,0
Peanuts - Raw,4
Peanuts - Salted Roasted,4
Pecans,7
Pecans (1.0 Pieces),5
Pelota Roja,0
Pepitas,7
Pepper Jack - Ropp,0
Pesto - Arugula Walnut,2
Pesto - Green Basil,0
Pesto - Kale Walnut,0
Pesto - Nettle Walnut,0
Pesto - Purple Basil,0
Pesto - Purple Shiso,0
Pesto - Sorrel Walnut,0
Pesto - Thai Basil,0
Pesto - Watercress,2
Pickled Eggs,0
Pignolas (Pine Nuts),5
Pistachios,6
Pita - Wheat - Frozen,0
Pita - White - Frozen,0
Pita - Zaatar Bread - Frozen,0
Pita/Zaatar Bread (1.0 Wheat),0
Pita/Zaatar Bread (1.0 White),0
Pita/Zaatar Bread (1.0 zaatar),0
Pizza - Bacon Bacon,6
Pizza - Cheese,10
Pizza - Deluxe,8
Pizza - Four Meat,6
Pizza - Hot Chicken,6
Pizza - Pepperoni,5
Pizza - Sausage Pepperoni,8
Pizza - Tomato Basil Garlic,10
Pizza - Veggie,8
Pizza Sauce,17
Polenta,24
Polish Dill Pickles,0
Popcorn - McKaskle,7
Popcorn - White,9
Popped Corn - Organic,0
Pork - Andouille links,7
Pork - Bratwurst,8
Pork - Breakfast Links CB,31
Pork - Breakfast Sausage,5
Pork - Chorizo (bulk),5
Pork - Chorizo Links CB,6
Pork - Deli Ham /lb.,6
Pork - Ground,22
Pork - Kielbasa,8
Pork - Sweet Italian,6
Pork - Sweet Italian (1.0 Links),37
Pork Andouille Links - D&M,8
Pork Apple Brat,14
Pork Bacon Burgers,9
Pork Breakfast Patties D&M,7
Pork Burger RFF,1
Pork Chops - Boneless CB /lb.,6
Pork Cutlets /lb,7
Pork Hot Dogs,6
Pork Italian Links - D&M,0
Pork Sausage - D&M,0
Pork Sausage - s&p,5
Pork Shoulder Small/lb.,0
Pork Shoulder/lb.,4
Pork Snack Sticks - 5 pk,5
Pork Snack Sticks - 5 pk (1.0 Spicy),16
Pork Snack Sticks - Honey 4pk,8
Pork Steaks/lb.,13
Pork TBM links - D&M,7
Pork Tenderloin/# - CB,8
Pork- Hot Italian,6
Pork- Hot Italian Links,4
Potato Chips Kickers Lg,0
Potato Chips Kickers med,4
Potato Chips Kickers Mini,3
Potato Chips Original - Mini,0
Potato Chips Original lg,4
Potato Chips Original med,0
Pretzel Buns,0
Pretzel Buns - Frozen,0
Pretzel Slider Buns,0
Pretzel Slider Buns - Frozen,11
Pumpkin Cranberry Bread,0
Quark-Frozen,5
Rack of Lamb,6
Ravioli - 4-Cheese,6
Ravioli - Butternut Squash,7
Ravioli - Goat Cheese,5
Ravioli - Mushroom,5
Raw Milk Aged Cheddar,6
Red Chile Sauce,12
Red Cornmeal,0
Ribeye Steak /lb,10
Ribs - Baby Back/lb.,5
Ribs - Spare/lb.,0
Ribs - Spare/lb. (1.0 Large),0
Ribs - Spare/lb. (1.0 Medium),6
Rice - Basmati Brown,16
Rice - Basmati White,12
Rice - Brown,38
Rice - White,24
RL Chocolate Milk,5
RL Heavy Cream,2
Ropp Cheddar (1.0 Green Onion),0
Ropp Cheddar (1.0 Sharp),0
Ropp Cheddar (1.0 Smoked),0
Ropp Cheddar (1.0 Tomato),0
Ropp Cheddar (1.0 White),4
Round Steak/lbs.,2
Sable Fish,17
Salame - Calabrese,6
Salame - Finocchiona,10
Salame - Veneto,7
Salmon,43
Salmon Candy,17
Salsa - Black Bean & Corn,17
Salsa - Gringo Hawaiian,0
Salsa - Gringo's Hot,6
Salsa - Gringo's Medium,8
Salsa - Gringo's Mild,10
Salsa - Hot TM&G,3
Salsa - Medium TM&G,0
Salted Caramel Choc. Sauce,0
Sea Scallops,6
Seedy Wheaty - Frozen,2
Seedy Wheaty Bread,15
Shakshuka Sauce,9
Shank Soup Bone/lbs.,2
Short Ribs/lbs.,2
Sirloin Steak,9
Skirt Steak/lbs.,4
Sliced Summer Sausage,6
Smoked Salmon,24
Smoked Salmon  (1.0 Pepper),13
Snack Stick - Bacon Jalapeno,16
Snack Stick - Hickory CB,17
Snow fog,0
Snowy Woodland Cheese,0
Soap (1.0 Basil Lemongrass),0
Soap (1.0 Cedar Rosemary),3
Soap (1.0 Cinnamon),4
Soap (1.0 Coconut Oil),0
Soap (1.0 Eucalyptus Mint),0
Soap (1.0 Facial Cleansing Bar),3
Soap (1.0 French Green Clay),2
Soap (1.0 Grapefruit),0
Soap (1.0 Honey Oat),4
Soap (1.0 Lavender),2
Sorghum Syrup,11
Sourdough Bread,18
Sourdough Bread - Frozen,13
Soy Sauce - Mushroom,8
Spice Blend,8
Spicy Dill Pickles,23
Strawberry Milk 12 oz.,1
Stringbean Brazilian,1
Stringbean Disco Inferno,3
Stringbean Ethiopian,1
Stringbean Malawi Peaberry,2
Stringbean Peru,6
Sugar Free - Apricot HBY,4
Sugar Free - Black Raspberry HBY,6
Sugar Free - Blackberry HBY,5
Sugar Free - Blueberry HBY,4
Sugar Free - Peach Jam HBY,2
Sugar Free - Raspberry HBY,4
Sugar Free - Red Cherry,5
Sugar Free - Strawberry Jam,4
Sugar Free - Strawberry Rhubarb,6
Sugar Free - Wild Elderberry,2
Sweet Dill Pickles,10
Swiss Cheese - Ropp,0
Tahini,28
Tarragon Peppers,23
Thick Cut Dill Pickles,13
Thyme for Garlic Vinaigrette,4
Toffee,9
Tomato Sauce - CB,40
Tomme - Cave Aged,4
Tortellini - Cheese,6
Tortellini - Mushroom,5
Tortelloni - Goat Cheese,7
Turkey - Andouille,3
Turkey Breakfast Links,4
Turkey Cherry Brats,0
Turkey Cranberry Brats,4
Turkey Drumsticks/lbs.,6
Turkey Thighs /lb,5
Turkey Wings /lb,2
Umami Heat - Japanese,0
Walnuts,4
Wheat Berries,46
White Rice Cooked,5
White Rice Flour,3
Whole Turkey,4
Yeast - Gold,0
Yeast - Red,6
Yogurt - Coconut,6
Yogurt - Greek Plain,3
Yogurt - Greek Vanilla,39
Yogurt - Plain Regular,4
Yogurt - Raspberry,8
Yogurt - Rose,18
Yogurt - Sheep's Milk,0
Yogurt - Vanilla Regular,17
Yogurt - Yo Bul Plain,0
