ITEM,AVAILABLE
Almond Butter,20
Almond Butter - Crunchy,36
Almonds - Raw,5
Almonds - Salted,4
Angel Food Cheese,6
Apple Butter,5
Apple Butter - No Sugar,5
Apple Butter - Organic,0
Apple Cider Vinegar,0
Apple Sauce - Chunky - NS,10
Apple Sauce - Organic Pt.,0
Apple Sauce - Organic Qt.,0
Apple Sauce - w/sugar - qt.,8
Baba Ganoush,0
Bacon,71
Bacon - Uncured,6
Bacon Ends /lb.,4
Bada Bing - Sub,12
Bada Bing - Sub - Frozen,2
Bagels - Everything,15
Bagels - Everything - Frozen,0
Bagels - Plain,0
Bagels - Plain - Frozen,9
Bagels - Raisin,0
Bagels - Raisin - Frozen,7
Baklava,0
Balsamic Vinegar,13
BBQ Sauce - Original #6,22
Beans & Rice,7
Bee Pollen,0
Beef - Stew Meat,6
Beef - Tenderloin 8oz.,6
Beef Bones - Knuckle/lb.,4
Beef Kabob Meat,68
Beef Marrow Bones /lb,6
Beets - Pickled,10
Big John's BBQ Sauce,4
Bison - Ground,77
Black Bean Dip,2
Black Bean Hummus,1
Black Bean Soup,6
Black Beans - Dry,5
Black Beans DC,20
Black Goat PF,3
Blackberry Vinaigrette,13
Boerewors Sausage,0
Bologna,2
Boneless Pork Chop - D&M /lb,0
Bourbon Butterscotch Sauce,0
Brazil Nuts,7
Bread Pudding - Muffin,6
Bread Pudding - Muffin - Froz.,5
Bread Pudding (1.0 Maple),3
Bread Pudding (1.0 Mocha Swirl),0
Bread Pudding (1.0 Plain),3
Bread Pudding (1.0 Pumpkin),0
Brioche - Buns,0
Brioche - Buns - Frozen,8
Brioche - Loaf,15
Brioche - Loaf - Frozen,0
Brisket - half/lb.,4
Brisket - whole/lb.,1
Brown Rice Flour,3
Buddha's Delight - Kit,0
Bulgur Salad,0
Buns - John Dough,0
Buns - John Dough - Frozen,3
Buttermilk - Qt.,7
Cabbage Stuffed Peppers,0
Candied Onions,0
Canned Peaches- sugar,23
Cappuccino Milk 12 oz.,1
Cashew Butter - Raw,27
Cashew Butter - Roasted,16
Cashews Raw,5
Cashews Salted,3
Catsup - Marina's,7
Catsup - Nolte,0
Cheddar - Hatch Pepper,9
Cheddar - Mauna Loa,8
Cheddar - Onion Chive,7
Cheddar - Tipsy,7
Cheddar - White MJC,8
Cheese - Aged Alpine,8
Cheese Curds (1.0 Herb),7
Cheese Curds (1.0 Plain),6
Cheese Curds (1.0 Spicy),5
Cheese Spread Ropp,0
Chevre PF (1.0 Herb),17
Chevre PF (1.0 Pepper),15
Chevre PF (1.0 Plain),14
Chicken - Big Bag Deboned Thighs/lb.,8
Chicken - BULK Breasts /lb.,8
Chicken - Ground,41
Chicken - Thighs /lbs,21
Chicken - Whole $4.50/lb.,8
Chicken Bones - SM/lb.,5
Chicken Bones - XL/lb.,0
Chicken Breasts /lb.,12
Chicken Chorizo,5
Chicken Drumsticks /lb.,2
Chicken Feet /lb,0
Chicken Links - Andouille,2
Chicken Links - Apple Cinnamon,3
Chicken Links - Chorizo,8
Chicken Links - Sundried Tomato,6
Chicken Thighs - Big Bag/lb.,3
Chicken Thighs - Boneless/lb.,31
Chicken Wings/lb.,7
Chickpea Hummus,0
Chipotle Pepper,0
Chips - Tortilla,24
Chocolate Gooey Butter Cake,0
Chuck Roast/lbs.,4
Cinnamon Rolls,6
Cinnamon Rolls - Frozen,13
Cinnamon Rolls - Jr. L.,15
Coconut Date Sauce,0
Coconut Oil Pint Organic,15
Coconut Oil Quart,9
Coffee Stringbean Decaf,1
Coffee Stringbean Red Eye,4
Cornmeal,29
CranApple Jalapeno Chutney,25
Cranberry Chutney,21
Croissants,8
Croissants - Frozen,14
Crunchy Peanut Butter,9
Curry Sauce (1.0 Green),8
Curry Sauce (1.0 Mango),7
Curry Sauce (1.0 Red),11
Dark Bar 61%,10
Dark Bar 72%,9
Dark Chocolate Almond Bar,4
Dark Chocolate Bon Bons,3
Dark Chocolate Caramels,3
Dark Chocolate Coffee Bark,3
Dark Chocolate Ginger Bark,3
Dark Chocolate Lolli,10
Dark Chocolate Salted Bark,0
Dark Chocolate Square,11
Date Chocolate Spread,0
Date Syrup,0
Dates,35
Decaf Kuva,2
Deli Rye Bread,0
Deli Rye Bread - Frozen,4
Deluxe Mixed Nuts,0
Dill Pickles - TM&G,0
Dill Pickles - TM&G (1.0 Spicy),0
Dinner Rolls,0
Dinner Rolls - Frozen,0
Dog Shampoo,4
Eggs - BW,135
Eggs - H,90
Eggs - Linnenbringer,0
Fatayer - Cheese,0
Fatayer - Cheese - Froz.,0
Fatayer - Spinach,0
Fatayer - Spinach - Froz.,0
Feta Cheese,0
FF - Bourbon Bacon Compote,0
FF - Fry Bread,0
FF - Tomatillo Salsa,0
FF Dip - Arugula Artichoke,0
FF Dip - Chili Hummus,6
FF Dip - Crab,0
FF Dip - Curried Corn,0
FF Dip - Feta,0
FF Dip - French Onion,0
FF Dip - Pimiento Cheese Spread,7
FF Dip - Ricotta Pea Smash,0
FF Dip - Salmon & Corn,0
FF Dip - Smoked Fish,0
FF Dip - Smoked Salmon,0
FF Dip - Spinach Artichoke,0
FF Dip - Street Corn,0
FF Dish - Cauliflower Curry,8
FF Dish - Cheesy Polenta,0
FF Dish - Chestnut Risotto,0
FF Dish - Corn Risotto,0
FF Dish - Crawfish Risotto,0
FF Dish - Creole Shrimp & Okra,0
FF Dish - Green Curry,0
FF Dish - Laksa Tofu Curry,0
FF Dish - Masala,0
FF Dish - Mole Rojo Chili,0
FF Dish - Pumpkin Risotto,0
FF Dish - Risotto,0
FF Dish - Saag Paneer,11
FF Dish - Satay Curry,0
FF Dish - Seafood Risotto,11
FF Dressing - Mayfair,0
FF Grits - Smoked Cheddar,10
FF Grits - Succotash,0
FF Pasta - Green Tea Soba,0
FF Pasta - Mac N Cheese,0
FF Salad - Broccoli,0
FF Salad - Brussels,0
FF Salad - Cous Cous,0
FF Salad - Quinoa Crunch,0
FF Salad - Roasted Roots,0
FF Salad - Soffritto,0
FF Salad - Spring Kimchi,0
FF Sauce - Mole,0
FF Sauce - Puttanesca,7
FF Sauce - Thai Peanut,0
FF Side - BBQ Pit Beans,8
FF Side - Creamed Kale,0
FF Soup - Broccoli Cheddar,0
FF Soup - Chickpea Stew,8
FF Soup - Chowder,0
FF Soup - Egg Drop Soup,0
