ITEM,AVAILABLE
Almond Butter,20
Almond Butter - Crunchy,33
Almonds - Raw,2
Almonds - Salted,7
Angel Food Cheese,13
Apple Butter,6
Apple Butter - No Sugar,4
Apple Butter - Organic,0
Apple Cider Vinegar,0
Apple Sauce - Chunky - NS,17
Apple Sauce - Organic Pt.,0
Apple Sauce - Organic Qt.,0
Apple Sauce - w/sugar - qt.,12
Baba Ganoush,0
Bacon,62
Bacon - Uncured,3
Bacon Ends /lb.,4
Bada Bing - Sub,0
Bada Bing - Sub - Frozen,0
Bagels - Everything,13
Bagels - Everything - Frozen,4
Bagels - Plain,8
Bagels - Plain - Frozen,5
Bagels - Raisin,4
Bagels - Raisin - Frozen,5
Baklava,0
Balsamic Vinegar,16
BBQ Sauce - Original #6,48
Beans & Rice,6
Bee Pollen,0
Beef - Stew Meat,3
Beef - Tenderloin 8oz.,7
Beef Bones - Knuckle/lb.,4
Beef Kabob Meat,53
Beef Marrow Bones /lb,8
Beets - Pickled,13
Big John's BBQ Sauce,5
Bison - Ground,95
Black Bean Dip,11
Black Bean Hummus,11
Black Bean Soup,6
Black Beans - Dry,13
Black Beans DC,43
Black Goat PF,0
Blackberry Vinaigrette,8
Boerewors Sausage,6
Bologna,3
Boneless Pork Chop - D&M /lb,0
Bourbon Butterscotch Sauce,0
Brazil Nuts,4
Bread Pudding - Muffin,8
Bread Pudding - Muffin - Froz.,5
Bread Pudding (1.0 Maple),5
Bread Pudding (1.0 Mocha Swirl),0
Bread Pudding (1.0 Plain),8
Bread Pudding (1.0 Pumpkin),0
Brioche - Buns,0
Brioche - Buns - Frozen,4
Brioche - Loaf,0
Brioche - Loaf - Frozen,3
Brisket - half/lb.,6
Brisket - whole/lb.,1
Brown Rice Flour,3
Buddha's Delight - Kit,0
Bulgur Salad,0
Buns - John Dough,0
Buns - John Dough - Frozen,5
Buttermilk - Qt.,4
Cabbage Stuffed Peppers,0
Candied Onions,0
Canned Peaches- sugar,21
Cappuccino Milk 12 oz.,7
Cashew Butter - Raw,27
Cashew Butter - Roasted,19
Cashews Raw,2
Cashews Salted,3
Catsup - Marina's,10
Catsup - Nolte,0
Cheddar - Hatch Pepper,8
Cheddar - Mauna Loa,9
Cheddar - Onion Chive,0
Cheddar - Tipsy,6
Cheddar - White MJC,0
Cheese - Aged Alpine,4
Cheese Curds (1.0 Herb),5
Cheese Curds (1.0 Plain),6
Cheese Curds (1.0 Spicy),9
Cheese Spread Ropp,0
Chevre PF (1.0 Herb),9
Chevre PF (1.0 Pepper),15
Chevre PF (1.0 Plain),12
Chicken - Big Bag Deboned Thighs/lb.,4
Chicken - BULK Breasts /lb.,5
Chicken - Ground,84
Chicken - Thighs /lbs,31
Chicken - Whole $4.50/lb.,5
Chicken Bones - SM/lb.,8
Chicken Bones - XL/lb.,0
Chicken Breasts /lb.,14
Chicken Chorizo,3
Chicken Drumsticks /lb.,3
Chicken Feet /lb,0
Chicken Links - Andouille,4
Chicken Links - Apple Cinnamon,4
Chicken Links - Chorizo,3
Chicken Links - Sundried Tomato,3
Chicken Thighs - Big Bag/lb.,8
Chicken Thighs - Boneless/lb.,17
Chicken Wings/lb.,2
Chickpea Hummus,0
Chipotle Pepper,0
Chips - Tortilla,42
Chocolate Gooey Butter Cake,0
Chuck Roast/lbs.,6
Cinnamon Rolls,0
Cinnamon Rolls - Frozen,14
Cinnamon Rolls - Jr. L.,17
Coconut Date Sauce,0
Coconut Oil Pint Organic,5
Coconut Oil Quart,11
Coffee Stringbean Decaf,3
Coffee Stringbean Red Eye,4
Cornmeal,32
Cottage Cheese,0
CranApple Jalapeno Chutney,25
Cranberry Chutney,23
Croissants,0
Croissants - Frozen,18
Crunchy Peanut Butter,2
Curry Sauce (1.0 Green),7
Curry Sauce (1.0 Mango),8
Curry Sauce (1.0 Red),13
Dark Bar 61%,5
Dark Bar 72%,6
Dark Chocolate Almond Bar,6
Dark Chocolate Bon Bons,4
Dark Chocolate Caramels,3
Dark Chocolate Coffee Bark,6
Dark Chocolate Ginger Bark,4
Dark Chocolate Lolli,10
Dark Chocolate Salted Bark,2
Dark Chocolate Square,6
Date Chocolate Spread,0
Date Syrup,0
Dates,45
Deli Rye Bread,0
Deli Rye Bread - Frozen,3
Deluxe Mixed Nuts,0
Dill Pickles - TM&G,2
Dill Pickles - TM&G (1.0 Spicy),1
Dinner Rolls,0
Dinner Rolls - Frozen,0
Dog Shampoo,5
Eggs - BW,45
Eggs - H,190
Fatayer - Cheese,0
Fatayer - Cheese - Froz.,0
Fatayer - Spinach,0
Fatayer - Spinach - Froz.,0
Feta Cheese,0
FF - Bourbon Bacon Compote,0
FF - Fry Bread,7
FF - Tomatillo Salsa,0
FF Dip - Arugula Artichoke,0
FF Dip - Chili Hummus,8
FF Dip - Crab,0
FF Dip - Curried Corn,0
FF Dip - Feta,0
FF Dip - French Onion,0
FF Dip - Ricotta Pea Smash,5
FF Dip - Salmon & Corn,0
FF Dip - Smoked Fish,2
FF Dip - Smoked Salmon,6
FF Dip - Spinach Artichoke,0
FF Dip - Street Corn,0
FF Dish - Seafood Risotto,12
FF Dish - Cauliflower Curry,8
FF Dish - Cheesy Polenta,0
FF Dish - Chestnut Risotto,0
FF Dish - Corn Risotto,0
FF Dish - Crawfish Risotto,0
FF Dish - Creole Shrimp & Okra,0
FF Dish - Green Curry,0
FF Dish - Laksa Tofu Curry,0
FF Dish - Masala,0
FF Dish - Mole Rojo Chili,0
FF Dish - Pumpkin Risotto,0
FF Dish - Risotto,8
FF Dish - Saag Paneer,10
FF Dish - Satay Curry,0
FF Dressing - Mayfair,0
FF Grits - Smoked Cheddar,0
FF Grits - Succotash,0
FF Pasta - Green Tea Soba,0
FF Pasta - Mac N Cheese,0
FF Salad - Broccoli,0
FF Salad - Brussels,0
FF Salad - Cous Cous,0
FF Salad - Quinoa Crunch,0
FF Salad - Roasted Roots,0
FF Salad - Soffritto,0
FF Salad - Spring Kimchi,0
FF Sauce - Mole,0
FF Sauce - Thai Peanut,2
FF Side - BBQ Pit Beans,18
FF Side - Creamed Kale,0
FF Soup - Broccoli Cheddar,0
FF Soup - Chickpea Stew,10
FF Soup - Chowder,0
FF Soup - Egg Drop Soup,0
FF Soup - Gumbo,6
FF Soup - Minestrone,0
FF Soup - Potato,0
FF Soup - Seafood,0
FF Soup - Tom Kha,6
FF Soup - Vegetable Stew,0
FF Soup - Wild Rice Minestrone,0
FF Soup - Yellow Gazpacho,7
FF Tzatziki,2
FF Vichyssoise - Leek & Fennel,0
Flaked Salmon/lb.,8
Flank Steak/lbs.,7
Fleur de la Prairie,13
Flory's Farmhouse,10
Flory's Favorite,2
Flour - All Purpose 5#,13
Flour - Bread 5#,0
Flour - Buckwheat,0
Flour - Pastry 5lb.,0
Flour - Sifted Bread 5lb.,2
Focaccia - 3 Cheese,0
Focaccia - 3 Cheese - Frozen,16
Garden Relish,0
Garlic Balsamic Vinaigrette,4
Giant Turkey Breast /lbs.,1
Gluten Free Black Bean Soup,4
Gluten Free Black Beans,5
Gluten Free Black Beans & Rice,4
