"",,"Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 19, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 20, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 26, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25","Feb 27, 25"
Item,Unit,2% MILK,2% MILK-e,2% MILK-o,Bulk Boneless Chicken Thighs,Butternut Ravioli,CREAM,CREAM - e,CREAM - o,Chocolate MILK,Chocolate MILK-o,Chocolate Milk-e,Cream RL pint,Cream pint,Creamline MILK,Creamline MILK-e,Creamline MILK-o,Egg - LB,Eggs - Buttonwood,Ground Chicken,Ground Chicken -o,Half & Half,Handling/Delivery fee,Home Delivery,Marinara Sauce AT,Multigrain Bread,Pickup Thursday,RL - Gallon Whole Milk,Skim MILK,Skim MILK-e,Skim MILK-o,Sweet Potato Gnocchi,Whole MILK,Whole MILK-e,Whole MILK-o,YoBul plain yogurt,Yobul plain yogurt,zDry Dock Eggs,zDry Dock Eggs-wkly,Half,FSA/FSD,FSC,UCA/KWA,Mini,Delivery to Groups,Two Week Trial of Mini Share,(BYO) FSG - Orders Only,(BYO) KWG - Orders Only,(BYO) UCG - Orders Only,"BYO - No Share, Order Only",Credit 1,Credit 2,FSA/FSD Makeup Share,FSC Makeup Share,Guest Access,Half Makeup Share,Mini Makeup Share,No Produce - Order Only (even wk),No Produce - Order Only (odd wk),"Two Week Trial - 1 Full, 1 Mini Share",Two Week Trial of Half Share,UCA/KWA Makeup Share,2% MILK,2% MILK-e,2% MILK-o,Bulk Boneless Chicken Thighs,Butternut Ravioli,CREAM,CREAM - e,CREAM - o,Chocolate MILK,Chocolate MILK-o,Chocolate Milk-e,Cream RL pint,Cream pint,Creamline MILK,Creamline MILK-e,Creamline MILK-o,Egg - LB,Eggs - Buttonwood,Ground Chicken,Ground Chicken -o,Half & Half,Handling/Delivery fee,Home Delivery,Marinara Sauce AT,Multigrain Bread,Pickup Thursday,RL - Gallon Whole Milk,Skim MILK,Skim MILK-e,Skim MILK-o,Sweet Potato Gnocchi,Whole MILK,Whole MILK-e,Whole MILK-o,YoBul plain yogurt,Yobul plain yogurt,zDry Dock Eggs,zDry Dock Eggs-wkly,Half,FSA/FSD,FSC,UCA/KWA,Mini,Delivery to Groups,Two Week Trial of Mini Share,(BYO) FSG - Orders Only,(BYO) KWG - Orders Only,(BYO) UCG - Orders Only,"BYO - No Share, Order Only",Credit 1,Credit 2,FSA/FSD Makeup Share,FSC Makeup Share,Guest Access,Half Makeup Share,Mini Makeup Share,No Produce - Order Only (even wk),No Produce - Order Only (odd wk),"Two Week Trial - 1 Full, 1 Mini Share",Two Week Trial of Half Share,UCA/KWA Makeup Share,2% MILK,2% MILK-e,2% MILK-o,Bulk Boneless Chicken Thighs,Butternut Ravioli,CREAM,CREAM - e,CREAM - o,Chocolate MILK,Chocolate MILK-o,Chocolate Milk-e,Cream RL pint,Cream pint,Creamline MILK,Creamline MILK-e,Creamline MILK-o,Egg - LB,Eggs - Buttonwood,Ground Chicken,Ground Chicken -o,Half & Half,Handling/Delivery fee,Home Delivery,Marinara Sauce AT,Multigrain Bread,Pickup Thursday,RL - Gallon Whole Milk,Skim MILK,Skim MILK-e,Skim MILK-o,Sweet Potato Gnocchi,Whole MILK,Whole MILK-e,Whole MILK-o,YoBul plain yogurt,Yobul plain yogurt,zDry Dock Eggs,zDry Dock Eggs-wkly,Half,FSA/FSD,FSC,UCA/KWA,Mini,Delivery to Groups,Two Week Trial of Mini Share,(BYO) FSG - Orders Only,(BYO) KWG - Orders Only,(BYO) UCG - Orders Only,"BYO - No Share, Order Only",Credit 1,Credit 2,FSA/FSD Makeup Share,FSC Makeup Share,Guest Access,Half Makeup Share,Mini Makeup Share,No Produce - Order Only (even wk),No Produce - Order Only (odd wk),"Two Week Trial - 1 Full, 1 Mini Share",Two Week Trial of Half Share,UCA/KWA Makeup Share,2% MILK,2% MILK-e,2% MILK-o,Bulk Boneless Chicken Thighs,Butternut Ravioli,CREAM,CREAM - e,CREAM - o,Chocolate MILK,Chocolate MILK-o,Chocolate Milk-e,Cream RL pint,Cream pint,Creamline MILK,Creamline MILK-e,Creamline MILK-o,Egg - LB,Eggs - Buttonwood,Ground Chicken,Ground Chicken -o,Half & Half,Handling/Delivery fee,Home Delivery,Marinara Sauce AT,Multigrain Bread,Pickup Thursday,RL - Gallon Whole Milk,Skim MILK,Skim MILK-e,Skim MILK-o,Sweet Potato Gnocchi,Whole MILK,Whole MILK-e,Whole MILK-o,YoBul plain yogurt,Yobul plain yogurt,zDry Dock Eggs,zDry Dock Eggs-wkly,Half,FSA/FSD,FSC,UCA/KWA,Mini,Delivery to Groups,Two Week Trial of Mini Share,(BYO) FSG - Orders Only,(BYO) KWG - Orders Only,(BYO) UCG - Orders Only,"BYO - No Share, Order Only",Credit 1,Credit 2,FSA/FSD Makeup Share,FSC Makeup Share,Guest Access,Half Makeup Share,Mini Makeup Share,No Produce - Order Only (even wk),No Produce - Order Only (odd wk),"Two Week Trial - 1 Full, 1 Mini Share",Two Week Trial of Half Share,UCA/KWA Makeup Share
Almond Butter,Pint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baklava,Each,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBQ Sauce Wildcard ($10.25),Each,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bison - Ground,Lb.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bread Choice - Frozen ($6.25),Loaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheese Choice $6.50,Each,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicken - Ground,Lb.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Carmen Choice,Tub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eggs,Dozen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
