"route","pickup_site","file_date","member_id"
"Fair Shares - Thursday","FSC-T",2024-07-26,939
"Fair Shares - Thursday","FSC-T",2024-07-26,208
"Fair Shares - Thursday","FSC-T",2024-07-26,1277
"Fair Shares - Thursday","FSC-T",2024-07-26,1857
"Fair Shares - Thursday","FSC-T",2024-07-26,514
"Fair Shares - Thursday","FSC-T",2024-07-26,744
"Fair Shares - Thursday","FSC-T",2024-07-26,310
"Fair Shares - Thursday","FSC-T",2024-07-26,25
"Fair Shares - Thursday","FSC-T",2024-07-26,941
"Fair Shares - Thursday","FSC-T",2024-07-26,1453
"Fair Shares - Thursday","FSC-T",2024-07-26,162
"Fair Shares - Thursday","FSC-T",2024-07-26,127
"Fair Shares - Thursday","FSC-T",2024-07-26,242
"Fair Shares - Thursday","FSC-T",2024-07-26,80
"Fair Shares - Thursday","FSC-T",2024-07-26,858
"Fair Shares - Thursday","FSD",2024-07-26,1513
"Fair Shares - Thursday","FSD",2024-07-26,1339
"Fair Shares - Thursday","FSD",2024-07-26,462
"Fair Shares - Thursday","FSD",2024-07-26,287
"Fair Shares - Thursday","FSD",2024-07-26,1799
"Fair Shares - Thursday","FSD",2024-07-26,1993
"Fair Shares - Thursday","FSD",2024-07-26,11
"Fair Shares - Thursday","FSD",2024-07-26,471
"Fair Shares - Thursday","FSD",2024-07-26,621
"Fair Shares - Thursday","FSD",2024-07-26,549
"Fair Shares - Thursday","FSD",2024-07-26,245
"Fair Shares - Thursday","FSD",2024-07-26,1271
"Fair Shares - Thursday","FSD",2024-07-26,657
"Fair Shares - Thursday","FSD",2024-07-26,423
"Fair Shares - Thursday","FSD",2024-07-26,928
"Fair Shares - Thursday","FSD",2024-07-26,1002
"Fair Shares - Thursday","FSD",2024-07-26,1900
"Fair Shares - Thursday","FSD",2024-07-26,1236
"Fair Shares - Thursday","FSD",2024-07-26,734
"Fair Shares - Thursday","FSD",2024-07-26,1164
"Fair Shares - Thursday","FSD",2024-07-26,636
"Fair Shares - Thursday","FSD",2024-07-26,1058
"Fair Shares - Thursday","FSD",2024-07-26,250
"Fair Shares - Thursday","FSD",2024-07-26,1141
"Fair Shares - Thursday","FSD",2024-07-26,1819
"Fair Shares - Thursday","FSE",2024-07-26,477
"Fair Shares - Thursday","FSE",2024-07-26,1871
"Fair Shares - Thursday","FSE",2024-07-26,21
"Fair Shares - Thursday","FSE",2024-07-26,476
"Fair Shares - Thursday","FSE",2024-07-26,1977
"Fair Shares - Thursday","FSE",2024-07-26,282
"Fair Shares - Thursday","FSE",2024-07-26,566
"Fair Shares - Thursday","FSE",2024-07-26,671
"Fair Shares - Thursday","FSE",2024-07-26,1312
"Fair Shares - Thursday","FSE",2024-07-26,1102
"Fair Shares - Thursday","FSE",2024-07-26,1430
"Fair Shares - Thursday","FSE",2024-07-26,1383
"Fair Shares - Thursday","FSE",2024-07-26,730
"Fair Shares - Thursday","FSE",2024-07-26,1047
"Fair Shares - Thursday","FSE",2024-07-26,1229
"Fair Shares - Thursday","FSE",2024-07-26,610
"Fair Shares - Thursday","FSE",2024-07-26,1839
"Fair Shares - Thursday","FSE",2024-07-26,1487
"Fair Shares - Thursday","FSE",2024-07-26,1066
"Fair Shares - Thursday","FSE",2024-07-26,308
"Fair Shares - Thursday","FSE",2024-07-26,327
"Fair Shares - Thursday","FSE",2024-07-26,22
"Fair Shares - Thursday","FSE",2024-07-26,1268
"Fair Shares - Thursday","FSE",2024-07-26,493
"Fair Shares - Thursday","FSE",2024-07-26,1884
"Fair Shares - Thursday","FSE",2024-07-26,796
"Fair Shares - Thursday","FSE",2024-07-26,699
"Fair Shares - Thursday","FSE",2024-07-26,1149
"Fair Shares - Thursday","FSE",2024-07-26,1353
"Fair Shares - Thursday","FSE",2024-07-26,1706
"Fair Shares - Thursday","FSE",2024-07-26,834
"Fair Shares - Thursday","FSE",2024-07-26,785
"Fair Shares - Thursday","FSE",2024-07-26,1436
"Fair Shares - Thursday","FSE",2024-07-26,1156
"Fair Shares - Thursday","FSE",2024-07-26,193
"Fair Shares - Thursday","FSE",2024-07-26,27
"Fair Shares - Thursday","FSE",2024-07-26,979
"Fair Shares - Thursday","FSE",2024-07-26,249
"Fair Shares - Thursday","FSE",2024-07-26,289
"Fair Shares - Thursday","FSE",2024-07-26,1416
"Fair Shares - Thursday","FSE",2024-07-26,1493
"Fair Shares - Thursday","FSE",2024-07-26,1786
"Fair Shares - Thursday","FSE",2024-07-26,1719
"Fair Shares - Thursday","FSE",2024-07-26,1752
"Fair Shares - Thursday","FSE",2024-07-26,725
"Fair Shares - Thursday","FSE",2024-07-26,1020
"Fair Shares - Thursday","FSE",2024-07-26,1243
"Fair Shares - Thursday","FSE",2024-07-26,993
"Fair Shares - Thursday","FSE",2024-07-26,1534
"Fair Shares - Thursday","FSE",2024-07-26,599
"Fair Shares - Thursday","FSE",2024-07-26,904
"Fair Shares - Thursday","FSE",2024-07-26,1440
"Fair Shares - Thursday","FSE",2024-07-26,1505
"Fair Shares - Thursday","FSE",2024-07-26,959
"Fair Shares - Thursday","FSE",2024-07-26,996
"Fair Shares - Thursday","FSMini-t",2024-07-26,1671
"Fair Shares - Thursday","FSMini-t",2024-07-26,840
"Fair Shares - Thursday","FSMini-t",2024-07-26,579
"Fair Shares - Thursday","FSMini-t",2024-07-26,1131
"Fair Shares - Thursday","FSMini-t",2024-07-26,1622
"Fair Shares - Thursday","FSMini-t",2024-07-26,445
"Fair Shares - Thursday","FSMini-t",2024-07-26,670
"Fair Shares - Thursday","FSMini-t",2024-07-26,1593
"Fair Shares - Thursday","FSMini-t",2024-07-26,550
"Fair Shares - Thursday","FSMini-t",2024-07-26,413
"Fair Shares - Thursday","FSMini-t",2024-07-26,1879
"Fair Shares - Thursday","FSMini-t",2024-07-26,1680
"Fair Shares - Thursday","FSMini-t",2024-07-26,1941
"Fair Shares - Thursday","FSMini-t",2024-07-26,561
"Fair Shares - Thursday","FSMini-t",2024-07-26,1652
"Fair Shares - Thursday","FSMini-t",2024-07-26,547
"Fair Shares - Thursday","FSMini-t",2024-07-26,1873
"Fair Shares - Thursday","FSMini-t",2024-07-26,816
"Fair Shares - Thursday","FSMini-t",2024-07-26,76
"Fair Shares - Thursday","FSMini-t",2024-07-26,1375
"Fair Shares - Thursday","FSMini-t",2024-07-26,133
"Fair Shares - Thursday","FSMini-t",2024-07-26,529
"Fair Shares - Thursday","FSMini-t",2024-07-26,1468
"Fair Shares - Thursday","FSMini-t",2024-07-26,947
"Fair Shares - Thursday","FSMini-t",2024-07-26,1521
"Fair Shares - Thursday","FSMini-t",2024-07-26,1227
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1001
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,438
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,646
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1280
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1926
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,268
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,378
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1754
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,110
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,383
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1491
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1875
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1172
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,921
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,613
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1244
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1345
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1421
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1894
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1327
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,420
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,784
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,954
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1036
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1232
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,511
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,113
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1374
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,798
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1389
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,393
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1731
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1351
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1360
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,367
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1613
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1210
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,264
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,851
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,150
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,394
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,285
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1851
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1542
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,166
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,361
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,602
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,539
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1458
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1522
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1298
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1764
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1661
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,475
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,188
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,869
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1730
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,297
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,815
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1657
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1711
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,583
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1497
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1466
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,867
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,159
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1825
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1781
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1641
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,165
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1929
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,170
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1877
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1247
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,419
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1261
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1744
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,714
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1821
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1439
"Fair Shares - Thursday","Fair Shares Thursday Pickup",2024-07-26,1087
