ITEM,CATEGORY,ADDITIONAL_CATEGORIES,AVAILABLE,PRICE,STATUS,PRODUCER,TITLE SPANISH,UNIT QUANTITY,UNIT,IS CREDIT,PACK SEPARATELY,MAX PER MEMBER,IMAGE URL,DESCRIPTION,LINK,WEIGHT,LABEL
T-Shirt Men's Lt. Blue,Gifts and Such,,1,12.00,Published,All Fair Shares Producers,,1.0,Each,true,FALSE,1,/staticResource/resources/item-no-image.jpg,"Light Blue ""I eat local"" design Size 2 XL, look in variations for other sizes. Fair Shares T-Shirts. Limited sizes and styles.",,Light,
T-Shirt Men's Lt. Blue (1.0 XL),Gifts and Such,,3,12.00,Published,All Fair Shares Producers,,1.0,XL,true,FALSE,10,/staticResource/resources/item-no-image.jpg,"Light Blue ""I eat local"" design Size 2 XL, look in variations for other sizes. Fair Shares T-Shirts. Limited sizes and styles.",,Light,
Eggplant-Lavender,Produce - Vegetables,,0,1.75,Draft,Nolte Hills Nursery,,1.0,2-pack,true,FALSE,2,https://fairshares.org/wp-content/uploads/2020/04/July-17-2018-961.jpeg,2 small globe eggplant,,Light,
Plants pick up!,Produce - Vegetables,,156,0.00,Draft,Biver Farms,,1.0,Each,true,FALSE,6,https://fairshares.org/wp-content/uploads/2020/03/biver-farms.jpg,Ordered earlier and they are here! In 4 inch pots. Pick up your plants this week.,,Light,
Short Ribs - Wee - /lb.,Wee Ones,,0,5.20,Published,Anton's Beef,,1.0,Each,true,FALSE,4,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5212289729953792.jpg?v=1642192958973,Beef Short Ribs. Priced per pound. Price($8.40/lb) will be adjusted at purchase.,,Light,
$ for green bags donation,Produce - Vegetables,Produce - Fruits,7774,1.00,Published,All Fair Shares Producers,x,1.0,$,true,FALSE,100,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5639719039795200.jpg?v=1643744029974,"Compostable, bio-degradable, sustainable produce bags which we use for our weighed out vegetables and fruits. We appreciate your support in our effort to be GREEN!",,Light,
1 Full Trial - please click read description,Produce - Fruits,,0,52.00,Draft,All Fair Shares Producers,,1.0,Share,true,FALSE,6,https://fairshares.org/wp-content/uploads/2020/04/FSshare1.web__3.jpg,Please don't add any other items to your cart until you receive our weekly newsletter letting you know your cart is ready for trades and orders. We will just have to delete it.,,Light,
1 Mini Trial - please read description,Produce - Fruits,,0,36.00,Draft,All Fair Shares Producers,,1.0,Share,true,FALSE,6,https://fairshares.org/wp-content/uploads/2020/04/MiniShare.tn__1.jpg,Please don't add any other items to your cart until you receive our weekly newsletter letting you know your cart is ready for trades and orders. We will just have to delete it.,,Light,
38% Milk Chocolate Bar - 2.45oz,Candy,,0,4.75,Draft,Kakao,,1.0,Package,true,FALSE,6,/staticResource/resources/item-no-image.jpg,24 oz bar,,Light,
5 Pc. Valentine Caramels,Candy,,0,14.00,Draft,Kakao,,1.0,Each,true,FALSE,17,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/5148818337169408.jpg?v=1612900621343,"Five-piece slider box of mixed milk and dark sea-salt caramels. .",,Medium,
50 pound ww sifted flour,"Grains, Beans & Rice",,0,76.00,Published,All Fair Shares Producers,,1.0,Bag,true,FALSE,17,/staticResource/resources/item-no-image.jpg,Janie's Bread Flour - sifted 50,,Light,
Added - last week's non-perishables,Produce - Vegetables,,0,2.00,Draft,All Fair Shares Producers,,1.0,Each,true,FALSE,17,https://cdn.shopify.com/s/files/1/0405/1779/5992/files/Logo-Default_6x_130x.png?v=1592325914,,,Light,
Aged Cheddar - HBC,Cheese,,7,6.50,Published,Hemme Brothers Creamery,,1.0,Each,true,FALSE,3,https://storage.googleapis.com/farmigo-images/1/6109270751051776/i/6414774150234112.jpg?v=1677186131858,"Our aged cheddars are the strong, not-so-silent types with hints of melted butter, toasted nuts and a little crunch from the crystals that develop naturally during the aging process.",,Light,
