"date_time","season","type","date_of_payment","amount","notes","file_date","member_id"
"2025/08/28 17:50","Combined CSA","Complimentary","Aug 28, 2025",0,"wk 22 returned 1 jar, deducted from purchases.",2025-09-05,31
"2025/09/04 16:55","Combined CSA","Complimentary","Sep 4, 2025",0,"wk 23 2 jars deducted from purchase",2025-09-05,31
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",300,NA,2025-09-05,1846
"2025/09/05 03:43","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,900
"2025/09/04 19:50","Combined CSA","Complimentary","Sep 4, 2025",0,"WK 23: returned 2 jars, deducted extras",2025-09-05,900
"2025/08/28 03:44","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,482
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",300,NA,2025-09-05,859
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",115.19922,NA,2025-09-05,178
"2025/08/29 03:44","Combined CSA","Credit Card","Aug 29, 2025",150,NA,2025-09-05,1440
"2025/09/05 03:44","Combined CSA","Credit Card","Sep 5, 2025",300,NA,2025-09-05,1102
"2025/09/04 18:44","Combined CSA","Complimentary","Sep 4, 2025",9.75,"WK 23: returned 4 jars, deducted extras",2025-09-05,636
"2025/08/27 17:30","Combined CSA","Complimentary","Aug 27, 2025",0,"WK 22: returned 2 jars, deducted extras",2025-09-05,325
"2025/08/30 03:42","Combined CSA","Credit Card","Aug 30, 2025",74.89984,NA,2025-09-05,1910
"2025/08/29 14:43","Combined CSA","Fee","Aug 29, 2025",-74.9,"WK 22:peaches,sm seeded h2o,shishi,pump UB,OG apples, quark,2xhandpie, 2xeggs",2025-09-05,1910
"2025/08/28 03:45","Combined CSA","Credit Card","Aug 28, 2025",150,NA,2025-09-05,1474
"2025/09/04 03:44","Combined CSA","Credit Card","Sep 4, 2025",300,NA,2025-09-05,863
"2025/08/27 19:27","Combined CSA","Complimentary","Aug 27, 2025",6.75,"WK 22: returned 3 jars, deducted extras",2025-09-05,322
