ITEM,CATEGORY,AVAILABLE,PRICE,STATUS,PRODUCER,TITLE SPANISH,UNIT QUANTITY,UNIT,SCHEDULES,SEASON,IS CREDIT,PACKING TYPE,MAX PER MEMBER,IMAGE URL,DESCRIPTION,LINK
(BYO) FSG - Orders Only,Share,726,0.00,Draft,All Fair Shares Producers,,0.0,credits,Weekly Shares,Combined CSA,true,PHYSICAL,10,http://,,
(BYO) KWG - Orders Only,Share,921,0.00,Draft,All Fair Shares Producers,,0.0,credits,"Half Share - EVEN week, Half Share - ODD week, Weekly Shares",Combined CSA,true,PHYSICAL,1,http://,Kirkwood Past Member BYO share.,
(BYO) UCG - Orders Only,Share,911,0.00,Draft,All Fair Shares Producers,,0.0,credits,Weekly Shares,Combined CSA,true,PHYSICAL,1,http://,U City Past Member BYO group,
2% MILK,Option,1492,8.49,Draft,Ozark Mountain Creamery,*,64.0,ounce,Weekly Shares,Combined CSA,false,VIRTUAL,15,http://staticResource/resources/item-no-image.jpg,Grass fed cow's milk. Bottle deposit included for $2.50 on returned bottles.,
2% MILK-e,Option,992,8.49,Draft,Ozark Mountain Creamery,*,64.0,ounce,Half Share - EVEN week,Combined CSA,false,VIRTUAL,15,http://staticResource/resources/item-no-image.jpg,Grass fed cow's milk. Includes $2.50 bottle return,
2% MILK-o,Option,1024,8.49,Draft,Ozark Mountain Creamery,*,64.0,ounce,Half Share - ODD week,Combined CSA,false,VIRTUAL,25,http://,Grass fed cow's milk. Includes $2.50 bottle return,
"BYO - No Share, Order Only",Share,899,0.00,Draft,All Fair Shares Producers,,0.0,credits,"Weekly Shares, Friday Deliveries",Combined CSA,true,PHYSICAL,1,http://,This is an option for past members who would like to continue shopping with Fair Shares without committing to a regular share.,
Bulk Boneless Chicken Thighs,Option,999,42.56,Draft,Buttonwood Farms,,0.0,bag,Weekly Shares,Combined CSA,false,PHYSICAL,3,/staticResource/resources/item-no-image.jpg,,
Butternut Ravioli,Option,999,9.58,Draft,Midwest Pasta Co.,,1.0,lbs,"Half Share - EVEN week, Half Share - ODD week",Combined CSA,false,PHYSICAL,4,http://,,
CREAM,Option,1020,20.17,Draft,Ozark Mountain Creamery,*,64.0,ounce,Weekly Shares,Combined CSA,false,PHYSICAL,2,http://,,
CREAM - e,Option,1000,20.17,Draft,Ozark Mountain Creamery,*,64.0,ounce,Half Share - EVEN week,Combined CSA,false,VIRTUAL,6,http://staticResource/resources/item-no-image.jpg,,
CREAM - o,Option,1500,20.17,Draft,Ozark Mountain Creamery,*,64.0,ounce,Half Share - ODD week,Combined CSA,false,PHYSICAL,100,https://staticResource/resources/item-no-image.jpg,,
Chocolate MILK,Option,9998,9.17,Draft,Ozark Mountain Creamery,*,64.0,ounce,Weekly Shares,Combined CSA,false,PHYSICAL,20,http://staticResource/resources/item-no-image.jpg,Grass fed cow's milk. Includes $2.25 bottle return,
Chocolate MILK-o,Option,7920,9.17,Draft,Ozark Mountain Creamery,*,64.0,ounce,Half Share - ODD week,Combined CSA,false,VIRTUAL,20,http://,Grass fed cow's milk. Includes $2.50 bottle return,
Chocolate Milk-e,Option,999,9.17,Draft,Ozark Mountain Creamery,*,64.0,ounce,Half Share - EVEN week,Combined CSA,false,PHYSICAL,6,http://,,
Cream RL pint,Option,9999,7.98,Draft,Rolling Lawn Farms,,16.0,ounce,Weekly Shares,Combined CSA,false,PHYSICAL,4,https://,Heavy cream in 16 ounce plastic bottle.,
Cream pint,Option,9999,7.98,Draft,Rolling Lawn Farms,,16.0,ounce,"Half Share - EVEN week, Half Share - ODD week",Combined CSA,false,PHYSICAL,4,https://,Heavy cream in 16 ounce plastic bottle.,
Creamline MILK,Option,9023,8.49,Draft,Ozark Mountain Creamery,*,64.0,ounce,Weekly Shares,Combined CSA,false,VIRTUAL,25,http://,"Grass fed cow's milk, unhomogenized so the cream rises to the top. $2.50 Bottle return included.",
Creamline MILK-e,Option,9923,8.49,Draft,Ozark Mountain Creamery,*,64.0,ounce,Half Share - EVEN week,Combined CSA,false,VIRTUAL,25,http://,Grass fed cow's milk. Whole milk with cream on top. $2.50 bottle return included,
